Jour;Note;Type;Lecture
20/11/2024;6.5;Alternance;0.0
21/11/2024;6.0;Alternance;0.0
22/11/2024;6.5;Alternance/Week-end;20.0
23/11/2024;8.0;Week-end;3.0
24/11/2024;6.0;Week-end;80.0
25/11/2024;7.5;Alternance;0.0
26/11/2024;7.0;Alternance;70.0
27/11/2024;6.5;Alternance;0.0
28/11/2024;7.5;Alternance;0.0
29/11/2024;8.0;Alternance/Week-end;0.0
30/11/2024;7.5;Week-end;45.0
01/12/2024;5.5;Week-end;3.0
02/12/2024;7.0;Alternance;0.0
03/12/2024;8.0;Alternance;0.0
04/12/2024;6.5;Alternance;0.0
05/12/2024;6.5;Alternance;5.0
06/12/2024;7.5;Alternance/Week-end;5.0
07/12/2024;7.5;Week-end;0.0
08/12/2024;7.5;Week-end;0.0
09/12/2024;7.0;Alternance;0.0
10/12/2024;7.0;Alternance;0.0
11/12/2024;6.5;Alternance;7.0
12/12/2024;7.0;Alternance;2.0
13/12/2024;6.5;Alternance/Week-end;0.0
14/12/2024;7.0;Week-end;0.0
15/12/2024;7.0;Week-end;5.0
16/12/2024;7.5;Alternance;0.0
17/12/2024;7.0;Alternance;0.0
18/12/2024;6.5;Alternance;20.0
19/12/2024;3.0;Alternance;7.0
20/12/2024;6.5;Alternance/Week-end;0.0
21/12/2024;7.0;Vacances;52.0
22/12/2024;6.5;Vacances;32.0
23/12/2024;7.0;Vacances;40.0
24/12/2024;7.0;Vacances;0.0
25/12/2024;7.5;Vacances;10.0
26/12/2024;7.0;Vacances;40.0
27/12/2024;4.5;Vacances;0.0
28/12/2024;6.5;Vacances;25.0
29/12/2024;6.5;Vacances;0.0
30/12/2024;7.5;Vacances;0.0
31/12/2024;8.0;Vacances;0.0
01/01/2025;6.5;Vacances;20.0
02/01/2025;8.5;Vacances;105.0
03/01/2025;8.5;Vacances;93.0
04/01/2025;7.5;Vacances;120.0
05/01/2025;8.5;Vacances;140.0
06/01/2025;6.5;Alternance;0.0
07/01/2025;6.5;Alternance;0.0
08/01/2025;6.0;Alternance;17.0
09/01/2025;7.5;Alternance;50.0
10/01/2025;7.0;Alternance/Week-end;20.0
11/01/2025;7.0;Week-end;43.0
12/01/2025;7.0;Week-end;6.0
13/01/2025;7.0;Alternance;0.0
14/01/2025;6.5;Alternance;35.0
15/01/2025;6.5;Alternance;35.0
16/01/2025;6.5;Alternance;110.0
17/01/2025;7.5;Alternance/Week-end;70.0
18/01/2025;7.5;Week-end;107.0
19/01/2025;7.0;Week-end;128.0
20/01/2025;7.0;Alternance;27.0
21/01/2025;7.0;Alternance;39.0
22/01/2025;6.0;Alternance;3.0
23/01/2025;7.0;Alternance;15.0
24/01/2025;7.5;Alternance/Week-end;0.0
25/01/2025;8.0;Week-end;0.0
26/01/2025;6.0;Week-end;13.0
27/01/2025;7.5;Cours;35.0
28/01/2025;6.0;Cours;10.0
29/01/2025;7.0;Cours;4.0
30/01/2025;6.5;Cours;42.0
31/01/2025;7.0;Cours/Week-end;0.0
01/02/2025;6.5;Week-end;180.0
02/02/2025;6.0;Week-end;54.0
03/02/2025;6.5;Cours;0.0
04/02/2025;7.0;Cours;0.0
05/02/2025;5.0;Cours;0.0
06/02/2025;8.0;Cours/Week-end;0.0
07/02/2025;8.5;Week-end;12.0
08/02/2025;7.5;Week-end;0.0
09/02/2025;8.0;Week-end;15.0
10/02/2025;6.5;Cours;25.0
11/02/2025;6.5;Cours;33.0
12/02/2025;6.5;Cours;40.0
13/02/2025;7.0;Cours;87.0
14/02/2025;6.0;Cours/Week-end;0.0
15/02/2025;7.0;Week-end;26.0
16/02/2025;7.5;Week-end;98.0
17/02/2025;6.5;Alternance;0.0
18/02/2025;8.5;Alternance;7.0
19/02/2025;6.0;Alternance;40.0
